id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
6855196,Room in Camberwell Available,35925193,Hannah,,Boroondara,-37.84612522,145.070894,Private room,12,1,0,,1,0
18254658,With private bathroom 350m to train & 25min to CBD,125610375,Wei M,,Darebin,-37.74823395,145.0013655,Private room,12,1,62,3.14,2,79
4515410,Easy Self Check-In | TWIN,11111637,Wei & Ting,,Boroondara,-37.80962699,145.0992157,Private room,14,1,210,4.27,3,80
6786688,Easy Self Check-In | DOUBLE,11111637,Wei & Ting,,Boroondara,-37.8090584,145.0979125,Private room,14,1,236,5.57,3,65
9263414,Easy Self Check-In | ENSUITE,11111637,Wei & Ting,,Boroondara,-37.80843534,145.0991003,Private room,14,1,225,6.36,3,72
14247909,Comfortable Sofa,85439196,Lee,,Melbourne,-37.80808438,144.961857,Shared room,14,1,1,0.03,1,0
18173092,Rowville,125356040,John,,Knox,-37.91584214,145.2340347,Shared room,15,1,0,,1,0
12689896,Student room close to CBD,68971791,Sacha,,Melbourne,-37.82403924,144.9577483,Shared room,17,1,0,,1,0
4570052,Cranbourne - fully self contained Studio Apartment,8291258,Trevor,,Casey,-38.09073706,145.2543834,Entire home/apt,18,1,18,3.18,1,136
14657470,Luna park n saint kilda beach,54027231,Yogs,,Port Phillip,-37.86449209,144.9763886,Shared room,18,1,0,,6,0
7060419,"Room for two people, easy transport",37024203,Manoj,,Boroondara,-37.84672755,145.0950478,Private room,19,1,0,,1,0
12211515,Private room in modern apartment,26021349,Nihal Christopher,,Melbourne,-37.81637144,144.9838644,Private room,19,1,0,,3,0
16485259,Rephidim lounge,41011904,Charles,,Moonee Valley,-37.77497524,144.908291,Shared room,19,1,44,1.89,2,358
17440832,BUDGET! Near Queen Victoria Market!,30134344,Lydia,,Melbourne,-37.80080051,144.954327,Shared room,19,1,1,0.05,1,0
17893637,Cheap shared room for students and backpackers,113022017,Naveen Kumar,,Monash,-37.90752856,145.1275061,Shared room,19,1,0,,1,0
20779222,Peaceful environment,145778952,Eric,,Maribyrnong,-37.78949595,144.8880564,Private room,19,1,0,,1,0
20836655,Monash uni chilled sharehouse!,149493016,Mary,,Monash,-37.91687931,145.1339603,Private room,19,1,0,,1,0
20918813,"Convenient, modern apartment",150225273,David,,Glen Eira,-37.9328574,145.0386322,Private room,19,1,7,0.58,1,15
29575837,A single bed in a cozy shared room (A GIRL ONLY),72411288,Mayu,,Melbourne,-37.79611763,144.953982,Shared room,19,1,0,,1,6
13605624,The Mark,34416620,Worapak,,Melbourne,-37.81675273,144.9626895,Shared room,21,1,1,0.04,1,0
4016089,Comfort in convenient location,20823485,John,,Darebin,-37.71107585,145.0049158,Private room,22,1,10,0.25,1,292
12924038,"Near train station, great suburb, 12KM to CBD",61455951,Hans,,Whitehorse,-37.81948882,145.1061208,Shared room,22,1,8,0.29,12,179
12924110,Backpackers' delight near station 12KM to CBD,61455951,Hans,,Whitehorse,-37.82101433,145.1064708,Shared room,22,1,22,0.75,12,179
13834495,"Clean, comfortable and friendly",81598239,Bronny,,Nillumbik,-37.70900359,145.1526225,Private room,22,1,6,0.21,2,0
17123439,BNB (CLOSE TO MELB. AIRPORT & M31),107192169,Xiaolin,,Hume,-37.57911901,144.9041487,Private room,22,1,7,0.32,5,90
18186758,Prahran apartment. Great location.,46769195,Clive,,Stonnington,-37.84843276,144.99255,Private room,22,1,1,0.05,1,0
21346630,The Greatest private room Brand New Building CBD,109575338,David Alejandro,,Melbourne,-37.81124473,144.9499946,Private room,22,1,22,3.16,3,49
3194833,109Clarendontst southbank Melbourne,1424387,Patrik,,Port Phillip,-37.82862941,144.9595787,Shared room,24,1,1,0.02,1,0
10146625,"real bed - nice & big ""deck"" under covered-bayside",48123266,Marilyn,,Frankston,-38.14007472,145.1342895,Private room,24,1,14,0.39,4,364
12923728,Share room near train station 12KM to CBD,61455951,Hans,,Whitehorse,-37.8212447,145.1044134,Shared room,24,1,2,0.34,12,179
17226057,southern cross,48127538,Ouldjaboy,,Melbourne,-37.81611954,144.9539714,Shared room,24,1,2,0.09,1,0
3462065,Huge room! Chapel St/St Kilda,17445414,Adeela,,Stonnington,-37.85337942,144.9848903,Private room,25,1,1,0.02,1,0
7440879,Cosy Place in Spacious Modern House,33559438,Munawar,,Moreland,-37.73706439,144.9768564,Shared room,25,1,8,0.2,1,0
7959317,Furnished private room with Wifi access,41697811,Johan-Gauri,,Darebin,-37.71702314,145.020011,Private room,25,1,4,0.11,1,23
