id,name2,host_id,host_name,neighbourhood_group,neighbourhood,latitude2,longitude2,room_type2,high_price,minimum_nights2,number_of_reviews2,reviews_per_month,calculated_host_listings_count,availability_365,
15274811,Luxurious Mansion Rosanna Heidelberg Ivanhoe 7 bds,4177728,Chris,,Banyule,-37.74489337,145.0593294,Entire home/apt,732,3,13,0.57,26,331,1
14524995,Holiday Family Resort Home,79186485,Matthew,,Banyule,-37.76608224,145.0563912,Entire home/apt,651,5,1,0.09,1,234,1
784043,4 Bedroom Melbourne Home & Garden,4133993,Kim,,Banyule,-37.73070795,145.0899522,Entire home/apt,550,5,1,0.14,1,363,1
20747759,"Heidelberg Haven - Gorgeous, near Rosanna, Ivanhoe",4177728,Chris,,Banyule,-37.75106468,145.0498922,Entire home/apt,453,3,7,0.49,26,357,1
4533245,Luxury Leafy Home. 10k from Melb.,23367383,Georgia,,Banyule,-37.76434898,145.0668148,Entire home/apt,397,3,1,0.03,1,0,1
16303299,La Trobe Home,9881238,Simeon,,Banyule,-37.73807488,145.0401432,Entire home/apt,320,2,0,,1,0,1
12689769,Macleod,50848364,Kvadrat,,Banyule,-37.72527328,145.064768,Entire home/apt,226,1,33,1.05,1,251,1
9532518,Comfortable & Spacious Living: Bundoora,49378601,Jason,,Banyule,-37.70264558,145.0598115,Entire home/apt,180,3,34,0.93,1,153,1
2046410,Melbourne Villa,9522866,Vivian,,Banyule,-37.75632666,145.0629714,Entire home/apt,180,4,17,0.3,3,357,1
20093630,Modern Ivanhoe 2 Bedroom Apt Close to Everything,16266564,Leigh,,Banyule,-37.77264443,145.0459144,Entire home/apt,180,3,9,0.62,6,146,1
19165293,Private room set in beautiful Las Cabanas,98731433,Birdhouse,,Bayside,-37.88896471,144.9973552,Private room,1384,2,0,,1,88,1
4503385,Contemporary House Close to Beach and Cafes,12847809,Louise,,Bayside,-37.92228323,144.9899753,Entire home/apt,1150,4,22,0.54,2,63,1
1233474,Sandringham Beach House opp beach,10260164,Fiona,,Bayside,-37.94996943,145.0027524,Entire home/apt,995,7,0,,1,165,1
10479107,Contemporary home in Bayside,54012527,Julianne,,Bayside,-37.92781291,145.0021658,Entire home/apt,950,5,2,0.17,1,23,1
