id,name4,host_id,host_name,neighbourhood_group,neighbourhood,latitude4,longitude4,room_type4,price4,minimum_nights4,target_number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,
1352762,STUDIO 1 SINGLE ROOM with Private Bathroom,7342833,Mo,,Banyule,-37.7372115,145.0528305,Entire home/apt,60,2,206,3.16,3,336,1
1803184,STUDIO with 2 Rooms & BATHROOM,7342833,Mo,,Banyule,-37.73586934,145.054367,Entire home/apt,79,4,162,2.63,3,237,1
10756074,Private Family studio sleep 4+kid Free parking,55621164,Sainan (Nancy),,Banyule,-37.7253806,145.1142269,Entire home/apt,75,2,156,4.49,2,37,1
7210280,[YUN STAR] Designer Studio/Cosy/Easy Self Check-in,37754540,Yun J,,Banyule,-37.76193764,145.0325385,Entire home/apt,91,2,139,3.47,1,17,1
6695919,Beautiful Melbourne Home!,1710243,Duncan,,Banyule,-37.76505486,145.035933,Private room,48,1,127,3.09,1,151,1
15551901,2 Bedroom Home Heidelberg,100100218,Daniel,,Banyule,-37.75540103,145.0629859,Entire home/apt,138,1,98,5.31,1,287,1
3071226,Holiday stay in central Heidelberg,9448107,Bec,,Banyule,-37.7529707,145.0662763,Entire home/apt,130,1,79,1.47,3,356,1
4245647,Lovely room with morning sun.,8223131,Lis,,Banyule,-37.74415001,145.0447179,Private room,60,1,70,1.39,2,254,1
11644823,"Private bungalow, close to public transport.",33882987,Pradeep,,Banyule,-37.77047874,145.0535281,Entire home/apt,71,2,67,2.01,1,300,1
16572756,Super Located Rosanna2BDRA sleep 4 +Parking,55621164,Sainan (Nancy),,Banyule,-37.744309,145.0654719,Entire home/apt,107,2,64,2.78,2,296,1
3013363,Self contained one bedroom unit,15064653,John,,Bayside,-37.92306528,145.0065513,Entire home/apt,100,1,234,4.39,1,256,1
6364442,"Close to Station,shops,beach ,CBD",24350569,Durdana,,Bayside,-37.95594447,145.0395788,Entire home/apt,119,1,175,4.19,1,269,1
4378693,A charming Victorian Pavilion -Brighton/Elwood,22734692,Manuela,,Bayside,-37.8988744,144.9921331,Entire home/apt,125,1,154,3.09,2,307,1
5242889,The little Loft- Brighton/St.Kilda,22734692,Manuela,,Bayside,-37.89899582,144.9936036,Entire home/apt,115,1,120,2.59,2,311,1
14658985,Private Brighton Studio Apartment Near Beach,19420128,Joan,,Bayside,-37.91168006,144.9973751,Entire home/apt,80,3,99,3.69,1,239,1
13679391,Quiet private self contained unit.,44883590,David,,Bayside,-37.95326889,145.0108037,Entire home/apt,100,2,90,3.11,1,220,1
10143146,Historic 1921 Residence in Martin Street Village,52056492,Robyn,,Bayside,-37.8958511,145.0021832,Entire home/apt,145,2,89,2.54,1,6,1
10685799,2bedroom Brighton 10mins to beach - 15mins to CBD,6815177,Julia,,Bayside,-37.89669842,145.0038697,Entire home/apt,208,1,84,2.41,17,327,1
17284875,"Bayside getaway, Impressive 1 bedroom apartment!",397229,Carla,,Bayside,-37.94789349,145.041462,Entire home/apt,145,1,71,3.35,1,302,1
14789165,"Boutique apartment,self-contained, close to beach.",15460930,Phil,,Bayside,-37.94561135,145.0014474,Entire home/apt,114,2,71,2.62,1,243,1
10791996,"The Lane House - quiet, cosy and close to city",18035351,Duncan & Emily,,Boroondara,-37.8178591,145.0245585,Entire home/apt,150,1,311,8.97,1,330,1
1157185,Kew Sanctuary / 4 km to CBD,437380,Craig & Mark,,Boroondara,-37.80573633,145.0194124,Private room,66,2,237,4.04,1,325,1
6786688,Easy Self Check-In | DOUBLE,11111637,Wei & Ting,,Boroondara,-37.8090584,145.0979125,Private room,14,1,236,5.57,3,65,1
9263414,Easy Self Check-In | ENSUITE,11111637,Wei & Ting,,Boroondara,-37.80843534,145.0991003,Private room,14,1,225,6.36,3,72,1
4515410,Easy Self Check-In | TWIN,11111637,Wei & Ting,,Boroondara,-37.80962699,145.0992157,Private room,14,1,210,4.27,3,80,1
9548928,House sleeps 13. Just 15 mins to Melbourne city,49448682,Jason,,Boroondara,-37.80652415,145.0323858,Entire home/apt,130,1,198,5.45,3,313,1
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.8036186,145.0338957,Private room,42,2,146,1.53,1,330,1
5378241,Art Deco Gem Entire 2BR Quiet Leafy Wifi Parking,27880649,Robert,,Boroondara,-37.83215407,145.0520896,Entire home/apt,109,2,129,2.8,1,344,1
16978470,Comfortable room close to CBD,113623057,Lasanthi,,Boroondara,-37.79944273,145.0292779,Private room,66,1,127,5.73,1,26,1
6748531,Loggia in Leafy Camberwell,35332906,Anne,,Boroondara,-37.83912959,145.0860863,Entire home/apt,109,2,123,2.93,1,284,1
297350,"Best, west of Melbourne-Wifi & Spa1",1533260,Ryan,,Brimbank,-37.78483777,144.7562492,Private room,46,1,240,2.87,9,333,1
8616749,Comfortable Bungalow set in garden.,41228535,Ian,,Brimbank,-37.78886022,144.8149882,Entire home/apt,66,1,207,5.66,1,346,1
11518408,"Private Studio, No Sharing, WiFi, 15 Min Airport",60717838,Jessy,,Brimbank,-37.71476161,144.8240527,Entire home/apt,61,1,193,5.84,1,249,1
18622840,"Private Studio, 10 min airport FREE WiFi & NETFLIX",6326637,Elena,,Brimbank,-37.72291836,144.8607307,Entire home/apt,55,1,127,6.72,1,243,1
8296434,10mins Melb airport. 20mins to cbd,43743521,Naomi,,Brimbank,-37.72026284,144.8527089,Entire home/apt,100,1,118,3.02,1,0,1
978562,Best West of Melbourne WiFi & Spa 3,1533260,Ryan,,Brimbank,-37.78342686,144.7567001,Private room,46,1,82,1.28,9,363,1
13419938,Melbourne Airport Accomodation (Double bedroom),16475607,Joe,,Brimbank,-37.74180164,144.851269,Private room,65,1,75,2.6,2,0,1
315513,"Best, west of Melbourne-Wifi & spa2",1533260,Ryan,,Brimbank,-37.78309553,144.757738,Private room,46,1,75,0.9,9,358,1
15100900,Classic Charmer 10km from CBD,72068327,Milos,,Brimbank,-37.78906543,144.8449228,Entire home/apt,145,2,47,1.83,1,235,1
8583407,The room for traveller in the West,44617840,Simon,,Brimbank,-37.79029417,144.8420761,Private room,30,1,40,1.36,5,336,1
5187265,TREEHOUSE APARTMENT with FERNTREE FOREST VIEW,26832071,Raoul,,Cardinia,-37.91683342,145.4575212,Entire home/apt,186,1,289,6.43,2,80,1
2615911,Ttekceba Retreat B/B,13397269,Veronika,,Cardinia,-38.01851616,145.4208226,Entire home/apt,245,2,133,2.75,1,307,1
6407347,Home among The Gum Trees,33418497,Kristina,,Cardinia,-38.04169353,145.393325,Entire home/apt,125,1,106,2.94,3,316,1
14390541,Relax at Billy Buttons (Fully Self Contained),7468042,Jennie,,Cardinia,-37.91322176,145.4515416,Entire home/apt,97,1,83,2.94,2,351,1
16538148,LAKEVIEW ON SYCAMORE (Lower Level Apartment),108815554,Lyn,,Cardinia,-37.91445972,145.4563986,Entire home/apt,115,1,82,5.62,2,304,1
17333284,"Central Beaconsfield, separate private space.",116916951,Gillian,,Cardinia,-38.05099045,145.3761713,Private room,58,1,72,3.43,1,36,1
5470169,Jacob's Estate | Farmstead on 50 Acres,28372322,Shami,,Cardinia,-38.14835242,145.4366759,Entire home/apt,300,1,71,1.6,1,220,1
11226350,RUSTIC COTTAGE THAT OPENS TO GARDEN & FOREST,26832071,Raoul,,Cardinia,-37.91666388,145.4564256,Entire home/apt,82,2,65,1.92,2,89,1
7519461,Tuscan cottage 45 minutes from city,4300788,David,,Cardinia,-38.01554436,145.3862299,Entire home/apt,120,2,63,1.68,2,0,1
20774064,Wombat Cottage,148848939,Yvonne,,Cardinia,-37.95059924,145.5521548,Entire home/apt,165,1,59,4.02,1,168,1
15976012,"Jacqui's Place - Separate Unit, rear of our house.",88878226,Jacqui,,Casey,-37.99116698,145.2867796,Entire home/apt,71,2,120,5.03,1,266,1
38271,Melbourne - Old Trafford Apartment,164193,Daryl,,Casey,-38.05725414,145.3393561,Entire home/apt,98,1,112,1.14,1,328,1
13213268,Lakeside Room3 fast NBN WiFi,74090259,Maryse &,,Casey,-38.09793587,145.2482435,Private room,84,1,84,2.78,3,67,1
16592139,Luxurious 4 bedroom modern home,39115016,Banie,,Casey,-38.07770821,145.3197013,Entire home/apt,150,2,64,2.8,4,344,1
9578761,Clean and tidy  attractive,49580189,Sam,,Casey,-38.08156996,145.2646396,Private room,51,1,47,1.32,3,334,1
13352099,Berwick’s Best Bed & Breakfast.,72805823,Jo And Hamish,,Casey,-38.07088628,145.3444896,Private room,79,1,46,3.2,1,143,1
10335206,#32 in the burbs,15209713,Sharon,,Casey,-38.04932732,145.3519722,Entire home/apt,100,3,42,1.25,1,337,1
9124255,Room with 2 single beds.,47535493,Seng Siew,,Casey,-38.01350835,145.3072431,Private room,43,1,42,1.14,1,341,1
5118872,Your Home Away From Home - Right Room,4535949,Euwing,,Casey,-38.00245931,145.3089306,Private room,60,1,41,1.03,3,0,1
6201075,Beautiful Big and Bright,784249,Vanessa,,Casey,-38.13979966,145.2538374,Entire home/apt,165,2,39,0.93,1,89,1
5280899,Modern Apartment Near Tram Line,1382711,Phoebe,,Darebin,-37.74889877,145.0018792,Entire home/apt,120,2,232,5.1,2,135,1
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729418,145.0008156,Private room,50,7,159,1.62,3,0,1
8332114,Private and very comfortable studio,23233948,Andrea,,Darebin,-37.76949054,144.9862558,Private room,84,1,143,3.75,1,131,1
16989973,Lakeside Retreat Wi-Fi City Latrobe RMIT,41973097,Kristi,,Darebin,-37.71383578,145.0028928,Private room,53,1,140,6.28,2,131,1
7781073,"Quiet, comfortable Northcote studio",8757163,Ross,,Darebin,-37.77615809,145.0002744,Entire home/apt,80,1,128,3.49,1,278,1
2251468,"Quiet, spacious apartment Northcote",3202291,Adam,,Darebin,-37.7748558,144.9930061,Entire home/apt,125,1,127,2.15,2,328,1
20426912,Boutique Stable Conversion  -     Gordon Grove BnB,145730368,Amanda,,Darebin,-37.77485856,144.9923666,Entire home/apt,100,1,126,8.01,1,49,1
