census_year,block_id,property_id,base_property_id,building_address,CLUE_small_area,parking_type,parking_spaces,longitude,latitude
2011,931,107427,107427,10 Brens Drive PARKVILLE 3052,Parkville,Private,341,144.94768,-37.78533
2011,931,110273,110273,Elliott Avenue PARKVILLE 3052,Parkville,Private,300,144.95163,-37.78462
2011,1004,104052,104052,672-692 Footscray Road WEST MELBOURNE 3003,West Melbourne (Industrial),Private,100,144.91094,-37.80569
2011,1101,110843,110843,163-261 Spencer Street DOCKLANDS 3008,Docklands,Commercial,583,144.95056,-37.81451
2011,1102,588807,588807,208-240 Harbour Esplanade DOCKLANDS 3008,Docklands,Private,158,144.94513,-37.81316
2011,1103,589575,589575,150-170 Harbour Esplanade DOCKLANDS 3008,Docklands,Private,144,144.94594,-37.81581
2011,1105,588061,588061,8-18 McCrae Street DOCKLANDS 3008,Docklands,Residential,189,144.95076,-37.82151
2011,1108,106983,106983,847 Bourke Street DOCKLANDS 3008,Docklands,Commercial,420,144.93933,-37.82041
2011,1109,560001,560001,16-32 Rakaia Way DOCKLANDS 3008,Docklands,Residential,250,144.94124,-37.8146
2011,1109,573327,573327,37-43 Caravel Lane DOCKLANDS 3008,Docklands,Residential,250,144.94067,-37.81492
2011,1109,584058,584058,349-369 Docklands Drive DOCKLANDS 3008,Docklands,Commercial,250,,
2011,1110,580075,580075,476-478 Docklands Drive DOCKLANDS 3008,Docklands,Private,350,144.93565,-37.81382
2011,1110,593738,593738,331-381 Footscray Road DOCKLANDS 3008,Docklands,Private,550,144.93723,-37.81076
2011,1112,103980,103980,40-66 Siddeley Street DOCKLANDS 3005,Docklands,Residential,291,144.95248,-37.82288
2011,2386,616163,616161,12 Sutton Street NORTH MELBOURNE 3051,North Melbourne,Residential,199,144.94095,-37.79163
2011,2547,615601,615601,352-400 Macaulay Road KENSINGTON 3031,Kensington,Private,101,144.93373,-37.79424
2012,6,578328,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Commercial,450,144.96994,-37.81778
2012,11,103987,103987,550-554 Flinders Street MELBOURNE 3000,Melbourne (CBD),Residential,152,144.95597,-37.8204
2012,12,103997,103997,472-482 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,330,144.95827,-37.81973
2012,13,104002,104002,376-388 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,315,144.96155,-37.81884
2012,17,103592,103592,11-37 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Private,131,144.97173,-37.81546
2012,18,111072,111072,32-44 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,532,144.97319,-37.81539
2012,22,102102,102102,471-485 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,598,144.95855,-37.81842
2012,24,102089,102089,327-343 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,423,144.96327,-37.81705
2012,24,102092,102092,359-373 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,265,144.96244,-37.81728
2012,26,102073,102073,141-165 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,350,144.96876,-37.81545
2012,26,109418,109418,199-209 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,348,144.96743,-37.81581
