Theme,Sub Theme,Feature Name,x_cor,y_cor,des,picture_url
Health Services,Private Hospital,St Vincent's Private Hospital Melbourne,-37.79831113,144.9572884,"St Vincent's Private Hospital Melbourne (formerly known as St Vincent's & Mercy Private Hospital) is a private hospital  group in Victoria of Australia that is located across four campuses in the Melbourne suburbs of Fitzroy,  East Melbourne , Kew and Werribee, Victoria.
Each campus is denominated St Vincent 's Private Hospital. with the associated suburb included as an addendum to the designation.",https://upload.wikimedia.org/wikipedia/commons/7/78/St_Vincents_%26_Mercy_Private_Hospital_1a.jpg
Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,-37.80934446,144.9823368,"Established in 1937, Epworth Freemasons (formerly the Freemasons Hospital),  located at 166 Clarendon St in East Melbourne,
was a practical expression of the work of Freemasonry in the Victorian community. It is now run by Epworth Healthcare.",https://upload.wikimedia.org/wikipedia/commons/2/2b/Epworth_Freemasons_Hospital_East_Melbourne.jpg
Health Services,Public Hospital,The Royal Victorian Eye & Ear Hospital,-37.80875228,144.9762683,"The Royal Victorian Eye and Ear Hospital (the Eye and Ear) is a specialist public teaching hospital in East Melbourne,  Australia.
It is the only hospital in Australia which specialises in both ophthalmology and otolaryngology.",https://upload.wikimedia.org/wikipedia/commons/1/17/Royal_Victorian_Eye_and_Ear_Hospital.jpg
Health Services,Public Hospital,Royal Womens Hospital,-37.79888925,144.9548973,"The Royal Women's Hospital, located in the Melbourne suburb of Parkville,  is Australia's oldest specialist women's hospital.
gynaecology, maternity It offers a full range of services in maternity, women's cancers and women's health.[1] It also offers complementary services such as social work, physiotherapy,  dietetics and pastoral care. Specialist clinics in endometriosis, chronic pelvic pain, menopause symptoms after cancer,  infertility[2] are also available. It is a major teaching hospital of over 200 beds with links to the University of  Melbourne and La Trobe University. Co-located in the same building is the Frances Perry Private Hospital,  a 69-bed private hospital for women.",https://upload.wikimedia.org/wikipedia/commons/a/aa/Royal_Women%27s_Hospital_Mel_1a.jpg
Health Services,Public Hospital,Royal Childrens Hospital,-37.79420608,144.9500483,"The Royal Children's Hospital (RCH) is a major children's hospital in Melbourne, Australia.

As a major specialist paediatric hospital in Victoria,  the Royal Children's Hospital provides a full range of clinical services, tertiary care,  as well as health promotion and prevention programs for children and young people",https://upload.wikimedia.org/wikipedia/commons/7/7f/The_Royal_Children%27s_Hospital%2C_Melbourne.jpg
Health Services,Public Hospital,Alfred Hospital,-37.84626312,144.9817863,"The Alfred Hospital, also known as The Alfred or Alfred Hospital,  is a leading tertiary teaching hospital in Melbourne, Victoria.
It is the second oldest hospital in Victoria, and the oldest Melbourne hospital still operating on its original site",https://upload.wikimedia.org/wikipedia/commons/7/7d/The_Alfred.jpg
Health Services,Public Hospital,Royal Melbourne Hospital,-37.79930717,144.9563897,"The Royal Melbourne Hospital (RMH), located in Parkville, Victoria, an inner suburb of Melbourne,  is one of Australia's leading public hospitals.
It is a major teaching hospital for tertiary health care with a reputation in clinical research managed as part of Melbourne Health which comprises the Royal Melbourne Hospital,  North West Dialysis Service and North Western Mental Health. The Melbourne Health Chief Executive is Christine  Kilpatrick AO.",https://upload.wikimedia.org/wikipedia/commons/c/c7/Royal_melbourne_hospital.jpg
Health Services,Public Hospital,Peter Maccallum Cancer Institute,-37.81147667,144.9774009,"The Peter MacCallum Cancer Centre,  also known as the Peter MacCallum Cancer Institute and commonly abbreviated as Peter Mac, 2.
is an Australian oncology research institute,  cancer treatment and professional oncologist training centre located in Melbourne,  Victoria. The centre is named in honour of Sir Peter MacCallum.[1] Since June 2016,  the centre has been located within the Victorian Comprehensive Cancer Centre (VCCC) in Parkville.",https://upload.wikimedia.org/wikipedia/commons/2/27/Victorian_Comprehensive_Cancer_Centre.jpg
Leisure/Recreation,Leisure/Recreation,Alkira House,-37.818325,144.962536,"Alkira House , a 1937 six storey inter-war building, was designed by J H Wardrop, who also designed the Shrine of Remembrance. The use of glass bricks, distinct tiles and the vertical design make this building a rare example of Jazz Moderne Art Deco architecture in Melbourne.",https://upload.wikimedia.org/wikipedia/commons/d/d3/Alkira_house_queen_street_melbourne.jpg
Leisure/Recreation,Leisure/Recreation,"Looking West Collins St.,  ",-37.816611,144.963815,"The MLC (Mutual Life and Citizens Assurance) Building was designed by architect Kingsley Henderson and erected in 1930. An inter-war building, its twelve floors with art-deco detailing lead stylishly to a sky-scraper tower. It was demolished in 1960 to make way for a new MLC building.",https://upload.wikimedia.org/wikipedia/commons/2/25/Collins_Street_east_end.jpg
Leisure/Recreation,Leisure/Recreation,"Treasury Building,  ",-37.8130283,144.9745209,"17 postcard views in a booklet. -- Printed on cover l.c.:Buildings, Streets & Parks. -- Printed by The Speciality Press Pty. Ltd., 189 little Collins St., Melbourne. -- PRINCES BRIDGE MELBOURNE--BOURKE ST. MELBOURNE, LOOKING WEST.--ON THE BLOCK COLLINS",https://upload.wikimedia.org/wikipedia/commons/0/0e/OTBfrontCOLOUR2.jpg
Leisure/Recreation,Leisure/Recreation,"Flinders Street Railway Station,  ",-37.816485,144.966989,"Flinders Street Station was designed by JW Fowcett and GPG Ashworthand was  finally completed in 1910.  Electric trains began arriving and departing in 1919. Flinders Street is now Melbourne_炉_驴_陆s busiest station and one of the city_炉_驴_陆s most iconic buildings, used by over 100,000 people every day. The clocks across the arch, part of the original design, show the times of departing trains, and continue to be a popular meeting place for Victorians. In 2013 the State Government announced a billion dollar refurbishment, to include a water-front amphitheatre and a market whilst still retaining the iconic dome and arched entrance.",https://upload.wikimedia.org/wikipedia/commons/7/7e/Flinders_Street_Station_Melbourne_March_2021.jpg
