type,des,icon
01d,clear sky,https://openweathermap.org/img/wn/01d@2x.png
02d,few clouds,https://openweathermap.org/img/wn/02d@3x.png
03d,scattered clouds,https://openweathermap.org/img/wn/03d@4x.png
04d,broken clouds,https://openweathermap.org/img/wn/04d@5x.png
04d,overcast clouds,https://openweathermap.org/img/wn/04d@6x.png
09d,shower rain,https://openweathermap.org/img/wn/09d@7x.png
10d,light rain,https://openweathermap.org/img/wn/10d@8x.png
11d,thunderstorm,https://openweathermap.org/img/wn/11d@9x.png
13d,snow,https://openweathermap.org/img/wn/13d@10x.png
50d,mist,https://openweathermap.org/img/wn/50d@11x.png
