type,des,icon
01d,sun,https://z1.ax1x.com/2023/10/16/piC614H.png
02d,Cloudy,https://z1.ax1x.com/2023/10/16/piC6G8A.png
03d,overcast,https://z1.ax1x.com/2023/10/16/piC6rCj.png 
04d,overcast,https://z1.ax1x.com/2023/10/16/piC6rCj.png
09d,rainy,https://z1.ax1x.com/2023/10/16/piC6Yvt.png
10d,rainy and cloud,https://z1.ax1x.com/2023/10/16/piC6UDf.png
11d,Thunderstorms,https://z1.ax1x.com/2023/10/16/piC6ab8.png 
13d,snowy,https://z1.ax1x.com/2023/10/16/piC6wVS.png
50d,foggy,https://z1.ax1x.com/2023/10/16/piC6T2R.png 
01n,sun,https://z1.ax1x.com/2023/10/16/piC614H.png
02n,Cloudy,https://z1.ax1x.com/2023/10/16/piC6G8A.png
03n,overcast,https://z1.ax1x.com/2023/10/16/piC6rCj.png 
04n,overcast,https://z1.ax1x.com/2023/10/16/piC6rCj.png
09n,rainy,https://z1.ax1x.com/2023/10/16/piC6Yvt.png
10n,rainy and cloud,https://z1.ax1x.com/2023/10/16/piC6UDf.png
11n,Thunderstorms,https://z1.ax1x.com/2023/10/16/piC6ab8.png 
13n,snowy,https://z1.ax1x.com/2023/10/16/piC6wVS.png
50n,foggy,https://z1.ax1x.com/2023/10/16/piC6T2R.png 
